department_id,clinician_role
1,Consultant
1,Consultant
1,Consultant
1,Consultant
1,Consultant
1,Consultant
1,Registrar
1,Registrar
1,Registrar
1,Registrar
1,Registrar
1,Registrar
1,Registrar
1,Registrar
1,Registrar
1,Registrar
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Junior Doctor
1,Nurse Practitioner
1,Nurse Practitioner
1,Nurse Practitioner
1,Nurse Practitioner
1,Nurse Practitioner
1,Nurse Practitioner
